1,2,3,,,,,,,,kg/m3,%,,%,mg/L,KJ/kg,%,工业分析（单位%，总和=1）,,,,元素组成（单位%，所有元素加和=1）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,主要成分（%）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金属元素含量（mg/kg）数值型,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,多环芳烃（mg/kg),,,,,,,,,,,,,,,,酯类,,,,,,,,,,邻苯二甲酸酯类,,,,,,,,,,,,,,,,,芳香烃类,,,,,,,,,,,氯代烃,,酚类,,,,醛类,,有机酸类,,,,,,,有机酸盐类,,,,杂环,,,,,,胺类,,,,,,,,,,,,,,,农药,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,重金属毒性浸出浓度（mg/L),,,,,,,,,,,,,,,,,,,,
废物类别,行业分类,固废名称 ,别名,产生工段,表观形貌（稍微详细）,物理形态,形状,颜色,气味,密度,含水率,pH,含油率,COD,热值,烧失率,水分,灰分,挥发分,固定碳,C,H,N,O,F,Na,Mg,Al,"Si	",P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,"Cu	",Zn,As,Pb,Ag,Bi,Cd,Sn,Sb,I,Hg,Ba,Al2O3,MgO,Cl,K2O,Na2O,Fe2O3,SiO2,MnO,CaO,S,SO3,As2O3,TiO2,Cr2O3,CuO,ZnO,PbO,F,V2O5,BaO,P2O5,SnO2,NiO,NaCl（%）,KCl,MgCl2,Mg(OH)2,Al(OH)3,AlCl3,MnCl2,NH4Cl（%）,TiCl4,FeCl2,FeCl3,CaCl2,CaF2,CaSO4,CaCO3,BaO,BaSO4,BaCO3,BaSiO3,BaS,NaNO3,辉铜矿,黄铜矿,铜铁硫化相,铁橄榄石,磁铁矿,钙铁辉石,玻璃相,石膏,方解石,石英,砷铜矿,皓矾,六水锌矾,氧化锑,三氧化二砷,五氧化二砷,铅绿矾,方铅矿,铅黄,铅,密陀僧,红锌矿,闪锌矿,锌,纤锌矿,冰晶石,刚玉,β-氧化铝,钾冰晶石,铝,锥冰晶石,西蒙冰晶石,氟铝钙锂石,白砷石,三水胆矾,副雄黄,砷华,铅矾,块黑铅矿,四水锌矾,硒汞矿,尖晶石,氮化铝,方镁石,铜靛矾,CuSO4•H2O,CdSO3•0.5H2O,石盐,氟氯铅矿,铁白云石,钙铝矾,氯铅矿,T B(mg/kg),T Na(mg/kg),T Mg(mg/kg),T Al(mg/kg),T K(mg/kg),T Ca(mg/kg),T Fe,T Cu,T Pb,T Zn,T Sn,T Ni,T Co,T Sb,T Hg,T Cd,T Bi,T Cr（mg/kg）,T As,T Be,T Ba,T Pd,T Pt,T V,T Mn,T Ti,T Al3+ （mg/L）,T SO42- （g/L),CN（mg/L),F（mg/L),萘,苊烯,苊,芴,菲,蒽,荧蒽,芘,苯并（a）蒽,屈,苯并（b）荧蒽,苯并 (k)荧蒽,苯并（a）芘,"茚苯（1,2,3-cd）芘"," 二苯并（a, n）蒽",苯并（ghi）北（二萘嵌苯）,乙酸乙酯,乙酸丁酯,乙酸异戊酯,氨基甲酸乙酯,邻甲酸甲酯,邻甲基苯甲酸,丁酸丁酯,N-氰基乙酰亚胺甲酯（乙酯）,4-[3-甲基-3-(（甲亚基氨基)）苯基]丁酸乙酯,氯甲酸甲酯,邻苯二甲酸二甲酯,邻甲基苯甲酸甲酯,邻苯二甲酸二乙酯,邻苯二甲酸二异丁酯,邻苯二甲酸二正丁酯,邻苯二甲酸二(2-甲氧基)乙酯,邻苯二甲酸二(4-甲基-2-戊基)酯,邻苯二甲酸二(2-乙氧基)乙酯,邻苯二甲酸二戊酯,邻苯二甲酸二己酯,邻苯二甲酸丁基苄基酯,邻苯二甲酸二(2-丁氧基)乙酯,邻苯二甲酸二环己酯,邻苯二甲酸二（2-乙基）己酯,邻苯二甲酸二苯酯,邻苯二甲酸二正辛酯,邻苯二甲酸二壬酯,苯,甲苯,乙苯,二甲苯,对二甲苯,间二甲苯,邻二甲苯,异丙苯,苯乙烯,乙烯基甲苯,环己烷,二氯甲烷,二氯乙烷,苯酚,邻甲酚,"2,4-二氯酚（mg/L）","2,5-二氯苯酚（mg/L）",甲醛%,间苯氧基苯甲醛,甲酸%,苯氧乙酸（mg/L）,氯乙酸,羟基乙酸（mg/L),2甲4氯酸,甲酸,甘氨酸,亚磷酸钠,甲基草甘膦酸钠盐,羟甲基磷酸钠盐,"2,4-二氯苯氧乙酸钠（mg/L)",氯甲基吡啶,吡啶,2-氯-5-氯甲基吡啶,三氯吡啶醇钠,乙基氯化物,氯乙酰氯,邻苯二胺,苯肼,脲,1-苯基氨基脲,二甲胺,2-氯烟酰胺,精胺,胺醚,乙撑硫脲,邻甲基苯基硫脲,"2-氯-N-(氯甲基)-N-(2,6-二乙基苯基)乙酰胺（MRM）","N-2,6-二乙基苯基甲亚胺（甲叉）",丁草胺,4-[3-乙基-2-(甲亚基氨基)苯基]丁酰氯,"2,5-二氯苯胺","2,4-D（mg/L）",草甘膦（mg/L),增甘膦mg/L,双甘膦mg/L,西玛津mg/L,三唑磷mg/L,烟嘧磺酰氯mg/L,烟嘧磺胺mg/L,烟嘧磺隆mg/kg,毒死蜱,多菌灵mg/L,氟乐灵,丁草胺mg/L,咪鲜胺,莠去津mg/L,百草枯mg/L,苯磺隆,吡虫啉,咪唑（烷）,丙环唑,代森锰mg/L,敌百虫,啶虫脒,麦草畏,杀虫单,乙草胺,溴丙烷,四氯化碳,丙溴磷,对氯三氟甲苯,功夫酰氯,苄基三乙基氯化铵,二氯菊酰氯,4-甲基-2-肼基苯并骈噻唑,苯唑醇,二甲硫醚,硫酸二甲酯,甲醇,乙醇,辛硫磷,"O,O-二乙基硫代磷酰氯",2-氯烟酰胺,二氯甲烷,醋酸,醋酸酐,丙烯醛,丙烯腈,环戊二烯,L Ca(mg/L),L Mg（mg/L),L Fe (mg/L),L Cu,L Pb,L Zn,L Ba (mg/L),L Sn ,L Co,L Sb,L Hg,L Cd,L Bi,L Ni,L Cr （mg/L),L Ag,L As,L Mn,L Se,L Br,L V
固相热处理渣,无机盐化工,碳酸钡生产过程中回转窑焙烧后产生的水淬渣,黑钡渣,重晶石生产碳酸钡过程中，通过回转窑焙烧、用水浸取后剩余的残渣,多孔的熔融结构,固态,颗粒状,灰白色,,,≤2,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4-4.8,0.2-1.3,,,,1.9-15.5,8-28,,0.4-2.3,,0-13.2,,,,,,,,,36.9-45.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760-1300,,,,,,,,,,,,,,
固相热处理渣,无机盐化工,碳酸钡生产过程中回转窑焙烧后产生的水淬渣,白钡渣,重晶石生产碳酸钡过程中，通过回转窑焙烧、用水浸取后剩余的残渣。原料不同，钡渣的组成有一定波动，白钡渣Si含量高，黑钡渣Ba含量高。,多孔的熔融结构,固态,颗粒状,灰白色,,,≤2,11.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.7-6.6,0.2-1.3,,,,2.8-5.2,42.5-50.4,,15.1-20.8,, 4.3-7.5,,,,,,,,,1-2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,760-1300,,,,,,,,,,,,,,
固相热处理渣,无机盐化工,有钙焙烧生产金属铬和铬盐过程产生的少钙铬渣,无,有钙焙烧生产金属铬和铬盐过程产生的工业废渣。,多孔的熔融结构,固态,颗粒状,黄绿、黑绿、赭绿,,,≤2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-10,8-36,,,,2-11,4-30,,26-44,,,,,0.6-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.35-97.05,,,,,,
固相热处理渣,无机盐化工,无钙焙烧生产金属铬和铬盐过程产生的无钙铬渣,无,无钙焙烧生产金属铬和铬盐过程产生的工业废渣。,多孔的熔融结构,固态,颗粒状,黄绿、黑绿、赭绿,,,≤2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13-17.5,14-18.5,,,,32-36.5,4-8.5,,1-2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.15-57.1,,,,,,
固相热处理渣,无机盐化工,电炉法生产黄磷过程中高温熔融产生的磷渣,无,电炉法生产黄磷过程中，由磷灰石、石英、焦碳在电弧炉中，以1600℃左右高温熔炼后排出的废渣,表面光滑，呈不规则的棱角状、块状和碎屑状，熔融结构,固态,颗粒状,灰白色,,,≤2,9.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.65-6.2,,,,,,34.47-40.8,,45.7-52.43,,,,,,,,, 1.85-2.6,,,1-3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,无机盐化工,电炉法生产黄磷过程中熔融产生的磷铁,无,电炉法生产黄磷过程炉料中的氧化铁（Fe2O3）被还原生成金属铁，熔融的铁与磷反应生成磷铁。,蜂窝状，熔融结构,固态,块状,暗红色,,,≤2,8.45,,,,,,,,,,,,,,,,,0.1-6,23-27,,,,,,,,,68-72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119-677,,,,,,,,,,,,,,,,,,,,
固相热处理渣,无机盐化工,氯化法钛白粉氯化工段产生的废熔盐渣,无,氯化法钛白粉氯化工段产生的废渣。,表面粗糙有褶皱熔融结构,固态,颗粒状,灰白色,,,≤2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.09-116,,943.01-947,,71.58-75,,,,,,1651-1655,86.65-90,,6381.56-6385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
固相热处理渣,煤化工,煤气化炉气化灰渣,无,煤在气化炉中经历了燃烧、气化等热转化过程后，煤中的矿物质和其他无机组分先后经历了破裂、团聚和熔融等过程，最终与部分未参与反应的煤或煤焦形成灰渣,颗粒状、熔融玻璃状,固态,颗粒状,黑色,,,≤2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.72-27.07,0.9-2.43,,,,7.49-23.9,24.09-42.73,,5.88-15.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,有色冶炼,铅电解精炼阳极泥,无,铅电解精炼过程附着于阳极基体表面或沉淀于电解槽底或悬浮于电解液中的泥状物,分散状细粒粉末，不溶性泥状物,固态,颗粒状,灰黑色,,,20-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-30,,,2-4,,,11-26.72,9.04-12.5,5-10,,,30-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,有色冶炼,锌湿法冶炼焙烧浸出渣,无,锌精矿焙烧后浸出工段产生的焙烧浸出渣,块状、致密,固态,块状,黑红色,,,20-30,<7,,,,,,,,,,,,,,,,,,,,,,,,,,,20-25,,,,4-6,,2-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40-44,,,11-15,,,,23-27,18-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,无机盐化工,电炉法生产黄磷的粗磷精制过程中产生的泥磷,无,电炉法生产黄磷，粗磷精制过程中产生的磷泥,表面多处凸起，呈花椰菜状或蜂窝状，表面含有许多空隙和褶皱，熔融结构,固态,泥状,黑色,,,2-3,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60-90,,,,,,,,,,,,,,,10-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8695-8699,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,无机盐化工,硫酸法生产钛白粉过程中钛精矿酸溶后产生的酸解残渣,无,硫酸法生产钛白粉过程中，硫酸酸溶钛精矿后，钛精矿中的Si、Al、Fe等杂质所形成的残渣,表面粗糙有凸起熔融结构,固态,泥状,黑色,,,20-30,1.33-1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-2.18,1-1.44,,,,12.76-16,19.21-23,0.83-1,1.14-5,,,,44.37-48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89-3.52,,0.19-0.51,,,,,,,,,0.09-0.17,,0.45-0.8,,,,
液固相浸出渣,无机盐化工,碳碱法生产硼砂过程中硼镁矿碳解过滤产生的硼泥,无,碳碱法生产硼砂过程中，硼镁矿碳解、过滤后产生的残渣,多孔穴假山石结构,固态,粉状,灰白色、黄白色,,,<1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79-5,30-45,,,,2.4-14.6,22.5-32.7,,1.54-5.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51395.79-72914.98,110994.3-125971.7,1492352-1643522,22469.64-23116.64,70000-96214.15,484008.1-662523.9,293319.8-464818.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,无机盐化工,碳化法氧化镁生产过程中溶液离心分离后产生的镁渣,无,碳化法生产氧化镁过程中，碳酸氢镁溶液离心分离后产生的残渣。,不规则粗糙熔融结构,固态,颗粒状,灰白色,,,<5,9.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5-14.17,10-28.84,,,,9-11.43,20-30,,12.24-40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35291.75-35293,47585.51-47587,1282093-1282095,18885.31-18887,57082.5-57084,510664-510666,172193.2-172195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,无机盐化工,硫酸-碳酸铵法生产氧化镁过程中溶液过滤产生的镁渣,无,硫酸、碳酸铵法生产氧化镁过程中，硫酸镁溶液板框过滤产生的残渣。,粗糙含凸起熔融结构,固态,颗粒状,棕黄色,,,20-30,9.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.54-14,31.52-33,,,,11.02-13,20.57-22,,11.63-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41186.77-41188,19649.81-19651,1732490-1732492,7747.082-7749,36809.34-36811,431517.5-431519,305836.6-305838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,无机盐化工,硫酸锰生产过程中软锰矿焙烧酸溶后产生的锰渣,无,软锰矿焙烧生产硫酸锰过程中，软锰矿焙烧后硫酸溶解，将铁和铝形成氢氧化物沉淀后形成的残渣,针、柱状规则晶体颗粒交织堆积、颗粒间存在大量孔隙，没有明显的胶结现象,固态,颗粒状,黑色,,,20-30,>7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21-12.54,2.17-31.52,,,,5.24-11.02,20.57-35.43,4.3-5.56,9.46-16.77,,16.1-21.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,540-930,,,
液固相浸出渣,无机盐化工,硫酸生产过程中产生的硫铁矿烧渣,无,硫酸烧渣是采用硫铁矿或硫精砂做原料生产硫酸过程中所排出的废渣,粗糙、毛细、孔洞发达,固态,颗粒状,灰黄色,,,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,20-65,,,,,,,,,,,,,,,1.44-3,,,,,,4.38-6,,,0.44-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.2-25.1,2.87-12.85,6.21-25.89,,,,,,,,,,,,,,,
液固相浸出渣,无机盐化工,硫磺制酸工艺产生的焚硫渣,无,硫磺制酸工艺焚硫工序沉淀隔渣过滤产生的焚硫渣,表面粗糙有气孔,固态,颗粒状,黑色,,,<5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.03-27.81,,,0.21 1.23,,,,,,,,,5.13-6.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.446-0.769,0.032-0.592,6.749-35.49,,,,,,,,,,,0.0084-0.015,,,,
液固相浸出渣,表面处理,镀锡产生的废槽渣,无,电镀槽清理过程产生的电镀槽渣,粗糙、团聚,固态,颗粒状,灰黑色,,,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,5-6,,0.9-2.8,,4-4.73,5-6,0.8-2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,表面处理,镀锌产生的废槽渣,无,电镀槽清理过程产生的电镀槽渣,粗糙、团聚,固态,颗粒状,灰黑色,,,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,5-6,,0.9-2.8,,4-4.73,5-6,0.8-2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,表面处理,镀镉产生的废槽渣,无,电镀槽清理过程产生的电镀槽渣,粗糙、团聚,固态,颗粒状,灰黑色,,,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,5-6,,0.9-2.8,,4-4.73,5-6,0.8-2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
液固相浸出渣,表面处理,镀镍产生的废槽渣,无,电镀槽清理过程产生的电镀槽渣,粗糙、团聚,固态,颗粒状,灰黑色,,,10-20,,,,,,,,,,,,,,,,,,,,,,,,,,5-6,,0.9-2.8,,4-4.73,5-6,0.8-2.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1-1167.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
